universityid,city,state,level,institution_type,specific_college_type,website
100654,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.aamu.edu
100663,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,www.uab.edu
100690,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.amridgeuniversity.edu
100706,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,www.uah.edu
100724,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.alasu.eduemailindex.aspx
100751,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,www.ua.edu
100760,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.cacc.edu
100830,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.aum.edu
100858,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,www.auburn.edu
100937,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.bsc.edu
101028,Phenix City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.cv.edu
101073,Selma,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.ccal.edu
101116,Montgomery,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,southuniversity.edu
101143,Enterprise,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.escc.edu
101161,Bay Minette,Alabama,2-year,Public,Associates--Public Suburban-serving Multicampus,www.faulknerstate.edu
101189,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.faulkner.edu
101240,Gadsden,Alabama,2-year,Public,Associates--Public Rural-serving Large,www.gadsdenstate.edu
101286,Dothan,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wallace.edu
101295,Hanceville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wallacestate.edu
101301,Selma,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wccs.edu
101365,Birmingham,Alabama,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.herzing.edubirmingham
101435,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.huntingdon.edu
101462,Huntsville,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.drakestate.edu
101480,Jacksonville,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.jsu.edu
101499,Brewton,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.jdcc.edu
101505,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,www.jeffstateonline.com
101514,Tanner,Alabama,2-year,Public,Associates--Public Rural-serving Large,www.calhoun.edu
101541,Marion,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.judson.edu
101569,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,www.lawsonstate.edu
101587,Livingston,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.uwa.edu
101602,Andalusia,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.lbwcc.edu
101648,Marion,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.marionmilitary.edu
101675,Fairfield,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.miles.edu
101693,Mobile,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.umobile.edu
101709,Montevallo,Alabama,4-year,Public,Masters Colleges and Universities--medium programs,www.montevallo.edu
101736,Muscle Shoals,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.nwscc.edu
101879,Florence,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.una.edu
101897,Rainsville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.nacc.edu
101912,Huntsville,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.oakwood.edu
101949,Monroeville,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.ascc.edu
101958,Montgomery,Alabama,2-year,Private for-profit,Associates--Private For-profit,princeinstitute.edu
101994,Evergreen,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.rstc.edu
102030,Mobile,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,www.bishop.edu
102049,Birmingham,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.samford.edu
102058,Selma,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,selmauniversity.org
102067,Tuscaloosa,Alabama,2-year,Public,Associates--Public Rural-serving Large,www.sheltonstate.edu
102076,Boaz,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.snead.edu
102094,Mobile,Alabama,4-year,Public,Research Universities--high research activity,www.southalabama.edu
102234,Mobile,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.shc.edu
102261,Birmingham,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.sebc.edu
102270,Tuscaloosa,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.stillman.edu
102298,Talladega,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.talladega.edu
102313,Montgomery,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.trenholmstate.edu
102368,Troy,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.troy.edu
102377,Tuskegee,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.tuskegee.edu
102429,Jasper,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.bscc.edu
102553,Anchorage,Alaska,4-year,Public,Masters Colleges and Universities--larger programs,www.uaa.alaska.edu
102614,Fairbanks,Alaska,4-year,Public,Research Universities--high research activity,www.uaf.edu
102632,Juneau,Alaska,4-year,Public,Masters Colleges and Universities--smaller programs,www.uas.alaska.edu
102669,Anchorage,Alaska,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.alaskapacific.edu
102845,Anchorage,Alaska,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.chartercollege.edu
103361,Valdez,Alaska,2-year,Public,Associates--Public Rural-serving Medium,www.pwscc.edu
103644,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.everestcollegephoenix.edu
103893,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit,www.carrington.edu
103909,Mesa,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.carrington.edu
103927,Tucson,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.carrington.edu
103945,Flagstaff,Arizona,4-year,Private not-for-profit,Associates--Private For-profit,www.collegeamerica.edu
104090,Phoenix,Arizona,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.brooklinecollege.edu
104151,Tempe,Arizona,4-year,Public,Research Universities--very high research activity,www.asu.edu
104160,Yuma,Arizona,2-year,Public,Associates--Public Rural-serving Large,www.azwestern.edu
104179,Tucson,Arizona,4-year,Public,Research Universities--very high research activity,www.arizona.edu
104188,Tucson,Arizona,4-year,Private for-profit,Schools of art- music- and design,www.suva.edu
104346,Coolidge,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,www.centralaz.edu
104364,Tucson,Arizona,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.brownmackie.edu
104425,Douglas,Arizona,2-year,Public,Associates--Public Rural-serving Large,www.cochise.edu
104577,Thatcher,Arizona,2-year,Public,Associates--Public Rural-serving Large,www.eac.edu
104586,Prescott,Arizona,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.erau.edu
104708,Glendale,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,www.gccaz.edu
